name,year_start,year_end,position,height(in),weight,birth_date,college
D.C. Wilcutt,1949,1950,G,74,165,25-Mar-23,Saint Louis University
D.J. Augustin,2009,2018,G,73,183,10-Nov-87,University of Texas at Austin
D.J. Kennedy,2012,2012,F,78,215,5-Nov-89,St. John's University
D.J. Stephens,2014,2014,G-F,77,188,19-Dec-90,University of Memphis
D.J. Strawberry,2008,2008,G,77,201,15-Jun-85,University of Maryland
D.J. White,2009,2014,F,81,251,31-Aug-86,Indiana University
D.J. Wilson,2018,2018,F,82,234,19-Feb-96,University of Michigan
Daequan Cook,2008,2013,G,77,205,28-Apr-87,Ohio State University
Dahntay Jones,2004,2017,G-F,78,225,27-Dec-80,Duke University
DaJuan Summers,2010,2013,F,80,230,24-Jan-88,Georgetown University
Dajuan Wagner,2003,2007,G,74,200,4-Feb-83,University of Memphis
Dakari Johnson,2018,2018,C,85,255,22-Sep-95,University of Kentucky
Dale Davis,1992,2007,F-C,83,230,25-Mar-69,Clemson University
Dale Ellis,1984,2000,G-F,79,205,6-Aug-60,University of Tennessee
Dale Hamilton,1950,1950,G-F,73,180,16-Aug-19,Franklin College
Dale Schlueter,1969,1978,C,82,225,12-Nov-45,Colorado State University
Dale Wilkinson,1985,1985,F,82,220,18-Mar-60,Idaho State University
Dalibor Bagaric,2001,2003,C,85,255,7-Feb-80,
Dallas Comegys,1988,1989,F,81,205,17-Aug-64,DePaul University
Dallas Thornton,1969,1970,G,76,190,1-Sep-46,Kentucky Wesleyan College
Damian Jones,2017,2018,F-C,85,245,30-Jun-95,Vanderbilt University
Damian Lillard,2013,2018,G,75,195,15-Jul-90,Weber State University
Damien Inglis,2016,2016,F,80,246,20-May-95,
Damien Wilkins,2005,2018,F-G,78,225,11-Jan-80,University of Georgia
Damion James,2011,2014,G-F,79,225,7-Oct-87,University of Texas at Austin
Damir Markota,2007,2007,C,82,225,26-Dec-85,
Damjan Rudez,2015,2017,F,82,228,17-Jun-86,
Damon Jones,1999,2009,G,75,185,25-Aug-76,University of Houston
Damon Stoudamire,1996,2008,G,70,171,3-Sep-73,University of Arizona
Damone Brown,2002,2005,F,81,200,28-Jun-79,Syracuse University
Damyean Dotson,2018,2018,G,78,205,6-May-94,University of Houston
Dan Anderson,1968,1969,C,82,230,15-Feb-43,Augsburg College
Dan Anderson,1975,1976,G,74,185,1-Jan-51,University of Southern California
Dan Dickau,2003,2008,G,73,190,16-Sep-78,Gonzaga University
Dan Gadzuric,2003,2012,C,83,240,2-Feb-78,"University of California, Los Angeles"
Dan Godfread,1991,1992,C,82,250,14-Jun-67,University of Evansville
Dan Hester,1971,1971,F,80,210,8-Nov-48,Louisiana State University
Dan Issel,1971,1985,C-F,81,235,25-Oct-48,University of Kentucky
Dan King,1955,1955,F,78,220,7-Jan-31,Western Kentucky University
Dan Kraus,1949,1949,G,73,195,13-Feb-23,Georgetown University
Dan Langhi,2001,2004,F,83,220,28-Nov-77,Vanderbilt University
Dan Majerle,1989,2002,G-F,78,215,9-Sep-65,Central Michigan University
Dan McClintock,2001,2001,C,85,270,19-Apr-77,Northern Arizona University
Dan O'Sullivan,1991,1996,C,82,250,3-Mar-68,Fordham University
Dan Roundfield,1976,1987,F-C,80,205,26-May-53,Central Michigan University
Dan Swartz,1963,1963,F,76,215,23-Dec-34,Morehead State University
Dan Tieman,1963,1963,G,73,185,30-Nov-40,Thomas More College
Dana Barros,1990,2004,G,71,163,13-Apr-67,Boston College
Dana Pagett,1972,1972,G,74,180,29-Mar-49,University of Southern California
Dane Suttle,1984,1985,G,75,190,9-Aug-61,Pepperdine University
D'Angelo Russell,2016,2018,G,77,195,23-Feb-96,Ohio State University
Daniel Ewing,2006,2007,G,75,185,26-Mar-83,Duke University
Daniel Gibson,2007,2013,G,74,190,27-Feb-86,University of Texas at Austin
Daniel Hamilton,2018,2018,G-F,79,195,8-Aug-95,University of Connecticut
Daniel Ochefu,2017,2017,C,83,245,15-Dec-93,Villanova University
Daniel Orton,2012,2014,C-F,82,255,6-Aug-90,University of Kentucky
Daniel Santiago,2001,2005,C,85,256,24-Jun-76,Saint Vincent College
Daniel Sparks,1969,1970,F,80,200,17-Apr-45,Weber State University
Daniel Theis,2018,2018,C,81,215,4-Apr-92,
Danilo Gallinari,2009,2018,F,82,225,8-Aug-88,
Danny Ainge,1982,1995,G,76,175,17-Mar-59,Brigham Young University
Danny Doyle,1963,1963,F,80,200,6-Feb-40,Belmont Abbey College
Danny Ferry,1991,2003,F,82,230,17-Oct-66,Duke University
Danny Finn,1953,1955,G,73,185,29-May-28,St. John's University
Danny Fortson,1998,2007,F,79,260,27-Mar-76,University of Cincinnati
Danny Granger,2006,2015,F,81,222,20-Apr-83,University of New Mexico
Danny Green,2010,2018,G-F,78,215,22-Jun-87,University of North Carolina
Danny Manning,1989,2003,F-C,82,230,17-May-66,University of Kansas
Danny Schayes,1982,1999,C-F,83,235,10-May-59,Syracuse University
Danny Vranes,1982,1988,F,79,210,29-Oct-58,University of Utah
Danny Wagner,1950,1950,G,73,170,1-Aug-22,University of Texas at Austin
Danny Young,1985,1995,G,75,175,26-Jul-62,Wake Forest University
Dante Cunningham,2010,2018,F,80,230,22-Apr-87,Villanova University
Dante Exum,2015,2017,G,78,190,13-Jul-95,
Danuel House,2017,2018,G,79,207,7-Jun-93,Texas A&M University
Darel Carrier,1968,1973,G,75,185,26-Oct-40,Western Kentucky University
Darington Hobson,2012,2012,G,79,210,29-Sep-87,University of New Mexico
Dario Saric,2017,2018,F,82,223,8-Apr-94,
Darius Johnson-Odom,2013,2014,G,74,215,28-Sep-89,Marquette University
Darius Miles,2001,2009,F,81,210,9-Oct-81,
Darius Miller,2013,2018,F,80,235,21-Mar-90,University of Kentucky
Darius Morris,2012,2015,G,76,190,3-Jan-91,University of Michigan
Darius Songaila,2004,2011,F,81,248,14-Feb-78,Wake Forest University
Darius Washington,2008,2008,G,74,195,6-Dec-85,University of Memphis
Darko Milicic,2004,2013,F-C,85,250,20-Jun-85,
Darnell Hillman,1972,1980,F-C,81,215,29-Aug-49,San Jose State University
Darnell Jackson,2009,2011,F,81,253,7-Nov-85,University of Kansas
Darnell Mee,1994,1995,G,77,175,11-Feb-71,Western Kentucky University
Darnell Valentine,1982,1991,G,73,183,3-Feb-59,University of Kansas
Darrall Imhoff,1961,1972,C,82,220,11-Oct-38,University of California
Darrell Allums,1981,1981,F,81,220,12-Sep-58,"University of California, Los Angeles"
Darrell Armstrong,1995,2008,G,73,170,22-Jun-68,Fayetteville State University
Darrell Arthur,2009,2018,F,81,235,25-Mar-88,University of Kansas
Darrell Brown,1949,1949,F,74,175,14-Mar-23,Humboldt State University
Darrell Elston,1975,1977,G,76,190,15-Aug-52,University of North Carolina
Darrell Griffith,1981,1991,G,76,190,16-Jun-58,University of Louisville
Darrell Hardy,1968,1968,F,79,220,,Baylor University
Darrell Lockhart,1984,1984,C,81,245,14-Sep-60,Auburn University
Darrell Walker,1984,1993,G,76,180,9-Mar-61,University of Arkansas
Darren Collison,2010,2018,G,73,175,23-Aug-87,"University of California, Los Angeles"
Darren Daye,1984,1988,F-G,80,220,30-Nov-60,"University of California, Los Angeles"
Darren Morningstar,1994,1994,C,82,235,22-Apr-69,University of Pittsburgh
Darren Tillis,1983,1984,C-F,83,215,23-Feb-60,Cleveland State University
Darrick Martin,1995,2008,G,71,170,6-Mar-71,"University of California, Los Angeles"
Darrin Hancock,1995,1997,G-F,79,205,3-Nov-71,University of Kansas
Darrun Hilliard,2016,2018,G,78,205,13-Apr-93,Villanova University
Darryl Dawkins,1976,1989,C,83,251,11-Jan-57,
Darryl Johnson,1996,1996,G,73,170,26-Oct-65,Michigan State University
Darryl Watkins,2008,2012,C,83,258,8-Nov-84,Syracuse University
Darvin Ham,1997,2005,F,79,220,23-Jul-73,Texas Tech University
Darwin Cook,1981,1989,G,75,184,6-Aug-58,University of Portland
Dave Batton,1983,1984,C,82,240,26-Mar-56,University of Notre Dame
Dave Bing,1967,1978,G,75,180,24-Nov-43,Syracuse University
Dave Britton,1981,1981,G,76,180,29-Aug-58,Texas A&M University
Dave Budd,1961,1965,F,78,205,28-Oct-38,Wake Forest University
Dave Corzine,1979,1991,C,83,250,25-Apr-56,DePaul University
Dave Cowens,1971,1983,C-F,81,230,25-Oct-48,Florida State University
Dave DeBusschere,1963,1974,F-G,78,220,16-Oct-40,University of Detroit Mercy
Dave Deutsch,1967,1967,G,73,170,13-May-45,University of Rochester
Dave Fedor,1963,1963,F,78,190,10-Dec-40,Florida State University
Dave Feitl,1987,1992,C,83,235,8-Jun-62,University of Texas at El Paso
Dave Gambee,1959,1970,F,78,215,16-Apr-37,Oregon State University
Dave Greenwood,1980,1991,F-C,81,222,27-May-57,"University of California, Los Angeles"
Dave Gunther,1963,1963,F,79,190,22-Jul-37,University of Iowa
Dave Henderson,1988,1988,G,77,195,21-Jul-64,Duke University
Dave Hoppen,1988,1993,C-F,83,235,13-Mar-64,University of Nebraska
Dave Jamerson,1991,1994,G-F,77,190,13-Aug-67,Ohio University
Dave Johnson,1993,1994,G-F,79,210,16-Nov-70,Syracuse University
Dave Lattin,1968,1973,F-C,78,225,23-Dec-43,University of Texas at El Paso
Dave Magley,1983,1983,F,80,202,24-Nov-59,University of Kansas
Dave Meyers,1976,1980,F-C,80,215,21-Apr-53,"University of California, Los Angeles"
Dave Minor,1952,1953,G-F,74,185,23-Feb-22,"University of California, Los Angeles"
Dave Newmark,1969,1971,C,85,240,11-Sep-46,Columbia University
Dave Piontek,1957,1963,F-C,78,230,27-Aug-34,Xavier University
Dave Popson,1989,1992,F-C,82,220,17-May-64,University of North Carolina
Dave Robisch,1972,1984,C-F,82,235,22-Dec-49,University of Kansas
Dave Schellhase,1967,1968,G,75,205,14-Oct-44,Purdue University
Dave Scholz,1970,1970,F,80,220,12-Apr-48,University of Illinois at Urbana-Champaign
Dave Sorenson,1971,1973,F,80,225,8-Jul-48,Ohio State University
Dave Stallworth,1966,1975,F-C,79,200,20-Dec-41,Wichita State University
Dave Twardzik,1973,1980,G,73,175,20-Sep-50,Old Dominion University
Dave Wohl,1972,1978,G,74,185,2-Nov-49,University of Pennsylvania
Dave Zeller,1962,1962,G,73,175,8-Jun-39,Miami University
David Andersen,2010,2011,C,83,245,23-Jun-80,
David Benoit,1992,2001,F,80,220,9-May-68,University of Alabama
David Burns,1982,1982,G,74,180,3-Jul-58,Saint Louis University
David Bustion,1973,1973,F,80,215,30-Aug-49,University of Denver
David Cooke,1986,1986,F,80,230,27-Sep-63,Saint Mary's College of California
David Gaines,1968,1968,G,73,170,27-Feb-42,LeMoyne-Owen College
David Harrison,2005,2008,C,85,280,15-Aug-82,University of Colorado
David Lee (Older),1968,1969,F,79,225,31-Mar-42,University of San Francisco
David Lee,2006,2017,F,81,245,29-Apr-83,University of Florida
David Noel,2007,2007,F,78,230,27-Feb-84,University of North Carolina
David Nwaba,2017,2018,G,76,209,14-Jan-93,"California Polytechnic State University, San Luis Obispo"
David Pope,1985,1986,F,79,220,15-Apr-62,Norfolk State University
David Rivers,1989,1992,G,73,170,20-Jan-65,University of Notre Dame
David Robinson,1990,2003,C,85,235,6-Aug-65,United States Naval Academy
David Stockton,2015,2015,G,71,165,24-Jun-91,Gonzaga University
David Thirdkill,1983,1987,F-G,79,195,12-Apr-60,Bradley University
David Thompson,1976,1984,G-F,76,195,13-Jul-54,North Carolina State University
David Vanterpool,2001,2001,G,77,200,31-Mar-73,St. Bonaventure University
David Vaughn,1975,1976,C,83,220,4-Jun-52,Oral Roberts University
David Vaughn,1996,1999,F,81,240,23-Mar-73,University of Memphis
David Wear,2015,2015,F,82,230,21-Sep-90,"University of California, Los Angeles"
David Wesley,1994,2007,G,73,190,14-Nov-70,Baylor University
David West,2004,2018,F,81,250,29-Aug-80,Xavier University
David Wingate,1987,2001,G-F,77,185,15-Dec-63,Georgetown University
David Wood,1989,1997,F,81,227,30-Nov-64,"University of Nevada, Reno"
Davis Bertans,2017,2018,F,82,210,12-Nov-92,
De'Aaron Fox,2018,2018,G,75,170,20-Dec-97,University of Kentucky
Dean Garrett,1997,2002,C,82,225,27-Nov-66,Indiana University
Dean Meminger,1972,1977,G,73,175,13-May-48,Marquette University
Dean Oliver,2002,2003,G,71,180,5-Nov-78,University of Iowa
Dean Tolson,1975,1978,F,80,190,25-Nov-51,University of Arkansas
DeAndre' Bembry,2017,2018,F,78,210,4-Jul-94,Saint Joseph's University
DeAndre Jordan,2009,2018,C,83,265,21-Jul-88,Texas A&M University
DeAndre Liggins,2012,2018,G,78,209,31-Mar-88,University of Kentucky
Deb Smith,1947,1947,F,75,180,7-Jan-20,University of Utah
Dedric Willoughby,2000,2000,G-F,75,180,27-May-74,Iowa State University
Dee Brown,1991,2002,G,73,160,29-Nov-68,Jacksonville University
Dee Brown,2007,2009,G,73,185,17-Aug-84,University of Illinois at Urbana-Champaign
Dee Gibson,1950,1950,F-G,71,175,25-Aug-23,Western Kentucky University
Dejounte Murray,2017,2018,G,77,170,19-Sep-96,University of Washington
DeJuan Blair,2010,2016,F-C,79,270,22-Apr-89,University of Pittsburgh
DeJuan Wheat,1998,1999,G,73,165,14-Oct-73,University of Louisville
Del Beshore,1979,1980,G,71,165,29-Nov-56,California University of Pennslyvania
Delaney Rudd,1990,1993,G,74,180,8-Nov-62,Wake Forest University
Dell Curry,1987,2002,G,76,190,25-Jun-64,Virginia Polytechnic Institute and State University
Dell Demps,1994,1997,G,75,205,12-Feb-70,University of the Pacific
Delon Wright,2016,2018,G,77,183,26-Apr-92,University of Utah
Delonte West,2005,2012,G,76,180,26-Jul-83,Saint Joseph's University
DeMar DeRozan,2010,2018,G-F,79,221,7-Aug-89,University of Southern California
DeMarco Johnson,2000,2000,F,81,245,6-Oct-75,University of North Carolina at Charlotte
DeMarcus Cousins,2011,2018,C-F,83,270,13-Aug-90,University of Kentucky
DeMarcus Nelson,2009,2009,G,76,200,2-Nov-85,Duke University
DeMarre Carroll,2010,2018,F,80,215,27-Jul-86,University of Missouri
Demetris Nichols,2008,2009,F,80,216,4-Sep-84,Syracuse University
Demetrius Calip,1992,1992,G,73,165,18-Nov-69,University of Michigan
Demetrius Jackson,2017,2018,G,73,201,7-Sep-94,University of Notre Dame
Deng Gai,2006,2006,F,81,250,22-Mar-82,Fairfield University
Dennis Awtrey,1971,1982,C,82,235,22-Feb-48,Santa Clara University
Dennis Bell,1974,1976,F,77,185,2-Jun-51,Drake University
Dennis Boyd,1979,1979,G,73,175,21-May-54,University of Detroit Mercy
Dennis DuVal,1975,1976,G,75,175,31-Mar-52,Syracuse University
Dennis Grey,1969,1970,C-F,80,215,26-Aug-47,California Western Uiversity
Dennis Hamilton,1968,1971,F,80,210,8-May-44,Arizona State University
Dennis Holman,1968,1968,G,75,175,8-Oct-45,Southern Methodist University
Dennis Hopson,1988,1992,G-F,77,200,22-Apr-65,Ohio State University
Dennis Horner,2012,2012,F,81,230,5-Feb-88,North Carolina State University
Dennis Johnson,1977,1990,G,76,185,18-Sep-54,Pepperdine University
Dennis Nutt,1987,1987,G,74,170,25-Mar-63,Texas Christian University
Dennis Rodman,1987,2000,F,79,210,13-May-61,Southeastern Oklahoma State University
Dennis Schroder,2014,2018,G,73,172,15-Sep-93,
Dennis Scott,1991,2000,F,80,229,5-Sep-68,Georgia Institute of Technology
Dennis Smith,2018,2018,G,75,195,25-Nov-97,North Carolina State University
Dennis Stewart,1971,1971,F,78,220,11-Apr-47,University of Michigan
Dennis Van Zant,1976,1976,F,81,210,1-Jun-52,Azusa Pacific University
Dennis Wuycik,1973,1975,F,78,215,29-Mar-50,University of North Carolina
Denzel Valentine,2017,2018,G,78,212,16-Nov-93,Michigan State University
DeQuan Jones,2013,2013,F,80,221,20-Jun-90,University of Miami
Derek Anderson,1998,2008,G,77,194,18-Jul-74,University of Kentucky
Derek Fisher,1997,2014,G,73,200,9-Aug-74,University of Arkansas at Little Rock
Derek Grimm,1998,1998,F,81,230,3-Aug-74,University of Missouri
Derek Harper,1984,1999,G,76,185,13-Oct-61,University of Illinois at Urbana-Champaign
Derek Hood,2000,2000,F,80,222,22-Dec-76,University of Arkansas
Derek Smith,1983,1991,G-F,78,205,1-Nov-61,University of Louisville
Derek Strong,1992,2001,F,80,220,9-Feb-68,Xavier University
DerMarr Johnson,2001,2008,F,81,201,5-May-80,University of Cincinnati
Dermie O'Connell,1949,1950,G,73,174,13-Apr-28,College of the Holy Cross
Deron Williams,2006,2017,G,75,200,26-Jun-84,University of Illinois at Urbana-Champaign
Derrek Dickey,1974,1978,F,79,218,20-Mar-51,University of Cincinnati
Derrick Alston,1995,1997,F,83,225,20-Aug-72,Duquesne University
Derrick Brown,2010,2012,F,79,225,8-Sep-87,Xavier University
Derrick Byars,2012,2012,F,79,220,25-Apr-84,Vanderbilt University
Derrick Caracter,2011,2011,F,81,275,4-May-88,University of Texas at El Paso
Derrick Chievous,1989,1991,F,79,195,3-Jul-67,University of Missouri
Derrick Coleman,1991,2005,F,82,230,21-Jun-67,Syracuse University
Derrick Dial,2000,2004,G,76,184,20-Dec-75,Eastern Michigan University
Derrick Favors,2011,2018,F-C,82,265,15-Jul-91,Georgia Institute of Technology
Derrick Gervin,1990,1991,F,80,200,28-Mar-63,University of Texas at San Antonio
Derrick Jones,2017,2018,F,79,190,15-Feb-97,"University of Nevada, Las Vegas"
Derrick McKey,1988,2002,F-C,81,205,10-Oct-66,University of Alabama
Derrick Phelps,1995,1995,G,76,181,31-Jul-72,University of North Carolina
Derrick Rose,2009,2018,G,75,190,4-Oct-88,University of Memphis
Derrick Rowland,1986,1986,G,77,195,21-Jun-59,State University of New York at Potsdam
Derrick Walton,2018,2018,G,73,189,3-Apr-95,University of Michigan
Derrick White,2018,2018,G,77,190,2-Jul-94,University of Colorado
Derrick Williams,2012,2017,F,80,240,25-May-91,University of Arizona
Derrick Zimmerman,2006,2006,G,75,195,2-Dec-81,Mississippi State University
DeSagana Diop,2002,2013,C,85,300,30-Jan-82,
DeShawn Stevenson,2001,2013,G,77,210,3-Apr-81,
Desmon Farmer,2007,2009,G,77,220,7-Oct-81,University of Southern California
Desmond Ferguson,2004,2004,G-F,79,203,22-Jul-77,University of Detroit Mercy
Desmond Mason,2001,2010,F,79,224,11-Oct-77,Oklahoma State University
Desmond Penigar,2004,2004,F,79,245,16-Jul-81,Utah State University
Detlef Schrempf,1986,2001,F-C,81,214,21-Jan-63,University of Washington
Devean George,2000,2010,G-F,80,220,29-Aug-77,Augsburg College
Devin Booker,2016,2018,G,78,206,30-Oct-96,University of Kentucky
Devin Brown,2003,2010,G,77,220,30-Dec-78,University of Texas at San Antonio
Devin Durrant,1985,1986,F,79,200,20-Oct-60,Brigham Young University
Devin Ebanks,2011,2013,F,81,215,28-Oct-89,West Virginia University
Devin Gray,1997,2000,F,79,240,31-May-72,Clemson University
Devin Green,2006,2006,G,79,210,25-Oct-82,Hampton University
Devin Harris,2005,2018,G,75,192,27-Feb-83,University of Wisconsin
Devyn Marble,2015,2016,G-F,78,200,21-Sep-92,University of Iowa
Dewayne Dedmon,2014,2018,C,85,245,12-Aug-89,University of Southern California
DeWayne Scales,1981,1984,F,80,208,28-Dec-58,Louisiana State University
Dewitt Menyard,1968,1968,C,82,210,24-May-44,University of Utah
Dexter Boney,1997,1997,G,76,185,27-Apr-70,"University of Nevada, Las Vegas"
Dexter Cambridge,1993,1993,F,79,224,29-Jan-70,University of Texas at Austin
Dexter Pittman,2011,2014,C,83,308,2-Mar-88,University of Texas at Austin
Dexter Shouse,1990,1990,G,74,200,24-Mar-63,University of South Alabama
Dexter Westbrook,1968,1968,F,80,190,,Providence College
Deyonta Davis,2017,2018,F-C,83,237,2-Dec-96,Michigan State University
Diamond Stone,2017,2017,C,83,255,10-Feb-97,University of Maryland
Diante Garrett,2013,2014,G,76,190,3-Nov-88,Iowa State University
Dick Atha,1956,1958,G,74,190,21-Sep-31,Indiana State University
Dick Barnett,1960,1974,G-F,76,190,2-Oct-36,Tennessee State University
Dick Bunt,1953,1953,G,73,170,13-Jul-30,New York University
Dick Cunningham,1969,1975,C,82,245,11-Jul-46,Murray State University
Dick Dickey,1952,1952,G,73,175,26-Oct-26,North Carolina State University
Dick Duckett,1958,1958,G,73,185,25-Mar-33,St. John's University
Dick Farley,1955,1959,G-F,76,190,13-Apr-32,Indiana University
Dick Fitzgerald,1947,1948,F,74,175,18-Nov-20,Fordham University
Dick Garmaker,1956,1961,G-F,75,200,29-Oct-32,University of Minnesota
Dick Garrett,1970,1974,G,75,185,31-Jan-47,Southern Illinois University
Dick Gibbs,1972,1976,F-G,77,210,20-Dec-48,University of Texas at El Paso
Dick Groat,1953,1953,G,71,180,4-Nov-30,Duke University
Dick Grubar,1970,1970,G,76,184,26-Jul-47,University of North Carolina
Dick Hemric,1956,1957,F,78,220,29-Aug-33,Wake Forest University
Dick Holub,1948,1948,C,78,205,29-Oct-21,Long Island University
Dick Knostman,1954,1954,C,78,215,9-Aug-31,Kansas State University
Dick Lee,1968,1968,F,78,,,University of Washington
Dick McGuire,1950,1960,G,73,180,25-Jan-26,St. John's University
Dick Mehen,1950,1952,F-C,77,195,20-May-22,University of Tennessee
Dick Miller,1981,1981,F,78,215,26-Apr-58,University of Toledo
Dick Murphy,1947,1947,G,73,175,10-Mar-21,Manhattan College
Dick Nemelka,1971,1971,G,73,175,1-Oct-43,Brigham Young University
Dick O'Keefe,1948,1951,G-F,74,185,29-Sep-23,Santa Clara University
Dick Ricketts,1956,1958,F-C,79,215,4-Dec-33,Duquesne University
Dick Rosenthal,1955,1957,F-G,77,205,20-Jan-30,University of Notre Dame
Dick Schnittker,1951,1958,F,77,200,27-May-28,Ohio State University
Dick Schulz,1947,1950,F-G,74,192,3-Jan-17,University of Wisconsin
Dick Shrider,1949,1949,G,74,190,7-Feb-23,Ohio University
Dick Snyder,1967,1979,G-F,77,207,1-Feb-44,Davidson College
Dick Surhoff,1953,1954,F,76,210,16-Nov-29,Long Island University
Dick Triptow,1949,1950,G-F,73,170,3-Nov-22,DePaul University
Dick Van Arsdale,1966,1977,G-F,77,210,22-Feb-43,Indiana University
Dick Wehr,1949,1949,F,76,180,9-Dec-25,Rice University
Dickey Simpkins,1995,2002,F,81,248,6-Apr-72,Providence College
Didier Ilunga-Mbenga,2005,2011,C,85,245,30-Dec-80,
Dijon Thompson,2006,2007,G-F,79,195,23-Feb-83,"University of California, Los Angeles"
Dike Eddleman,1950,1953,F-G,75,189,27-Dec-22,University of Illinois at Urbana-Champaign
Dikembe Mutombo,1992,2009,C,86,245,25-Jun-66,Georgetown University
Dillard Crocker,1949,1953,F-G,76,205,19-Jan-25,Western Michigan University
Dillon Brooks,2018,2018,G-F,78,220,22-Jan-96,University of Oregon
Dino Martin,1947,1948,G,68,160,25-May-20,Georgetown University
Dino Radja,1994,1997,F-C,83,225,24-Apr-67,
Dion Glover,2000,2005,G,77,228,22-Oct-78,Georgia Institute of Technology
Dion Waiters,2013,2018,G,76,225,10-Dec-91,Syracuse University
Dionte Christmas,2014,2014,G,77,205,15-Sep-86,Temple University
Dirk Minniefield,1986,1988,G,75,180,17-Jan-61,University of Kentucky
Dirk Nowitzki,1999,2018,F,85,245,19-Jun-78,
Doc Rivers,1984,1996,G,76,185,13-Oct-61,Marquette University
Dolph Schayes,1950,1964,F-C,80,220,19-May-28,New York University
Domantas Sabonis,2017,2018,F-C,83,240,3-May-96,Gonzaga University
Dominic McGuire,2008,2013,F,81,220,20-Oct-85,"California State University, Fresno"
Dominic Pressley,1989,1989,G,74,170,30-May-64,Boston College
Dominique Jones,2011,2013,G,76,215,15-Oct-88,University of South Florida
Dominique Wilkins,1983,1999,F-G,79,200,12-Jan-60,University of Georgia
Don Ackerman,1954,1954,G,73,183,4-Sep-30,Long Island University
Don Adams,1971,1977,F,78,210,27-Nov-47,Northwestern University
Don Anielak,1955,1955,F,79,190,1-Nov-30,Missouri State University
Don Asmonga,1954,1954,G,74,185,15-Feb-28,Alliance College
Don Barksdale,1952,1955,F-C,78,200,31-Mar-23,"University of California, Los Angeles"
Don Bielke,1956,1956,C,79,240,,Valparaiso University
Don Boven,1950,1953,F-G,76,210,6-Mar-25,Western Michigan University
Don Buse,1973,1985,G,76,190,10-Aug-50,University of Evansville
Don Carlos,1969,1969,G-F,77,210,3-Mar-44,Otterbein College
Don Carlson,1947,1951,G-F,73,170,22-Mar-19,University of Minnesota
Don Chaney,1969,1980,G,77,210,22-Mar-46,University of Houston
Don Collins,1981,1987,F-G,78,190,28-Nov-58,Washington State University
Don Dee,1969,1969,F,80,210,9-Aug-43,Saint Mary of the Plains College
Don Eliason,1947,1947,F,74,210,24-Jul-18,Hamline University
Don Ford,1976,1982,F,81,215,31-Dec-52,"University of California, Santa Barbara"
Don Grate,1950,1950,F-G,74,185,27-Aug-23,Ohio State University
Don Hanrahan,1953,1953,F,79,200,6-Feb-29,Loyola University of Chicago
Don Henriksen,1953,1955,F-C,79,225,10-Oct-29,University of California
Don Kojis,1964,1975,F,77,215,15-Jan-39,Marquette University
Don Lofgran,1951,1954,F-C,77,200,8-Nov-29,University of San Francisco
Don MacLean,1993,2001,F,82,235,16-Jan-70,"University of California, Los Angeles"
Don Martin,1947,1949,C-F,79,210,7-Feb-20,Central Missouri State University
Don May,1969,1975,F,76,200,3-Jan-46,University of Dayton
Don Nelson,1963,1976,F,78,210,15-May-40,University of Iowa
Don Ohl,1961,1970,G,75,190,18-Apr-36,University of Illinois at Urbana-Champaign
Don Otten,1950,1953,C,82,240,18-Apr-21,Bowling Green State University
Don Putman,1947,1950,G,73,170,13-Nov-22,University of Denver
Don Ray,1950,1950,F-C,77,190,8-Jul-21,Western Kentucky University
Don Rehfeldt,1951,1952,F,79,210,7-Jan-27,University of Wisconsin
Don Reid,1996,2003,F,80,250,30-Dec-73,Georgetown University
Don Savage,1952,1957,F-G,75,205,9-Apr-28,LeMoyne College
Don Smith,1949,1949,G-F,74,190,27-Jul-20,University of Minnesota
Don Smith,1975,1975,G,73,160,10-Oct-51,University of Dayton
Don Sunderlage,1954,1955,G,73,180,20-Dec-29,University of Illinois at Urbana-Champaign
Donald Hodge,1992,1996,C,85,230,25-Feb-69,Temple University
Donald Royal,1990,1998,F,80,210,22-May-66,University of Notre Dame
Donald Sidle,1969,1972,F-C,80,215,21-Jun-46,University of Oklahoma
Donald Sloan,2012,2016,G,75,205,15-Jan-88,Texas A&M University
Donald Washington,1975,1976,F,80,210,22-Apr-52,University of North Carolina
Donald Whiteside,1997,1998,G,70,160,25-Apr-69,Northern Illinois University
Donatas Motiejunas,2013,2017,F-C,85,222,20-Sep-90,
Donell Taylor,2006,2007,G,78,180,26-Jul-82,University of Alabama at Birmingham
Donnell Harvey,2001,2005,F,80,220,26-Aug-80,University of Florida
Donnie Boyce,1996,1997,G,77,196,2-Sep-73,University of Colorado
Donnie Butcher,1962,1966,G,74,200,8-Feb-36,Pikeville College
Donnie Forman,1949,1949,G,70,175,17-Jan-26,New York University
Donnie Freeman,1968,1976,G,75,185,18-Jul-44,University of Illinois at Urbana-Champaign
Donny Marshall,1996,2003,F,79,230,17-Jul-72,University of Connecticut
Donovan Mitchell,2018,2018,G,75,211,7-Sep-96,University of Louisville
Donta Smith,2005,2006,G-F,79,215,27-Nov-83,Southeastern Illinois College
Dontae' Jones,1998,1998,F,80,220,2-Jun-75,Mississippi State University
Donte Greene,2009,2012,F,83,226,21-Feb-88,Syracuse University
Dontell Jefferson,2009,2009,G,77,195,15-Dec-83,University of Arkansas
Dontonio Wingfield,1995,1998,F,80,256,23-Jun-74,University of Cincinnati
Donyell Marshall,1995,2009,F,81,218,18-May-73,University of Connecticut
Dorell Wright,2005,2015,F-G,81,205,2-Dec-85,
